"Sample_Name","Staining_Protocol","Expt_Date","Date_Measurement","Location","Station_Number","Depth","Sample_Type","Timepoint","Replicate","c_Bacteria","c_HNA","c_LNA","c_Viruses","c_V1","c_V2","c_V3","VBR","HNAperLNA"
"vi201109.125","Viruses",2020-08-20,2020-11-09,"NJ2020",4,1,"VPC",12,1,3031343.28358209,2194672.19272764,836671.090854453,35012366.7377399,28641777.1160882,4930359.23561944,1440230.3860322,11.5501160582401,2.62310030395137
"vi201109.070","Viruses",2020-08-20,2020-11-09,"NJ2020",4,1,"VP",12,2,4274840.08528785,3493074.87875997,781765.206527879,32712793.1769723,26253731.877648,5105698.13311165,1353363.16621265,7.6524016160407,4.46818923327896
"vi201109.126","Viruses",2020-08-20,2020-11-09,"NJ2020",4,1,"VPC",12,2,3166950.95948827,2224496.87877309,942454.080715185,34508315.565032,27882779.5528751,5029097.33494194,1596438.67721494,10.896384568774,2.36032388663968
"vi201109.071","Viruses",2020-08-20,2020-11-09,"NJ2020",4,1,"VP",12,3,4068869.93603412,3424940.34728538,643929.58874874,35404477.6119403,28818537.6966807,5133901.78210233,1452038.13315732,8.70130482628518,5.31881188118812
"vi201109.127","Viruses",2020-08-20,2020-11-09,"NJ2020",4,1,"VPC",12,3,3132409.38166311,2249789.76701667,882619.614646448,35178678.0383795,28610762.8010576,5049329.41558483,1518585.82173714,11.2305493159077,2.54899135446686
"vi201109.017","Viruses",2020-08-20,2020-11-09,"NJ2020",4,1,"0.22",24,1,250746.268656716,233869.115958668,16877.1526980482,54612793.1769723,43047170.9067939,10362697.3103332,1202924.9598452,217.801020408163,13.8571428571429
"vi201109.072","Viruses",2020-08-20,2020-11-09,"NJ2020",4,1,"VP",24,1,7579317.69722814,7082543.54655894,496774.150669208,36363965.8848614,29468832.5133623,5453963.34459297,1441170.02690611,4.79778884294033,14.2570694087404
"vi201109.128","Viruses",2020-08-20,2020-11-09,"NJ2020",4,1,"VPC",24,1,2850959.48827292,2079433.67044784,771525.817825084,31231982.9424307,24264237.5650067,5441621.36728466,1526124.01013935,10.954902400718,2.69522240527183
"vi201109.018","Viruses",2020-08-20,2020-11-09,"NJ2020",4,1,"0.22",24,2,63965.8848614072,28887.8189696678,35078.0658917395,54886567.1641791,43377406.1788414,10188314.3304438,1320846.65489394,858.06,0.823529411764706
"vi201109.073","Viruses",2020-08-20,2020-11-09,"NJ2020",4,1,"VP",24,2,8004051.17270789,7260735.74546742,743315.427240465,41737100.2132196,33597163.7848518,6458560.06633786,1681376.36202998,5.21449692319987,9.7680412371134
"vi201109.129","Viruses",2020-08-20,2020-11-09,"NJ2020",4,1,"VPC",24,2,2925159.91471215,2091216.01899239,833943.895719762,29962899.7867804,23376124.7086054,5167406.91123366,1419368.16694134,10.243166411546,2.50762195121951
"vi201109.019","Viruses",2020-08-20,2020-11-09,"NJ2020",4,1,"0.22",24,3,25586.3539445629,15991.4712153518,9594.88272921109,55127078.891258,43301063.4222926,10457426.1416964,1368589.32726899,2154.55,1.66666666666667
"vi201109.074","Viruses",2020-08-20,2020-11-09,"NJ2020",4,1,"VP",24,3,8044989.33901919,7437049.20163657,607940.137382622,35953304.9040512,29090743.5619382,5497373.85392303,1365187.48818994,4.469030770454,12.2331932773109
"vi201109.130","Viruses",2020-08-20,2020-11-09,"NJ2020",4,1,"VPC",24,3,2499147.12153518,1920076.44703313,579070.674502054,32801705.7569296,26253975.7957617,5169326.87034427,1378403.09082369,13.1251599692859,3.31578947368421
"vi201109.161","Viruses",2020-09-01,2020-11-09,"NJ2020",5,1,"0.22",0,1,7036.2473347548,5025.89095339628,2010.35638135851,29272068.2302772,25298091.5428628,3763893.08285656,210083.604557836,4160.18181818182,2.5
